ts, average131195ts, fastestz3, slowestz0
4856, 0.031096, 0.044481, 0.016269
4864, 0.031044, 0.044408, 0.016242
4872, 0.030993, 0.044335, 0.016215
4880, 0.031148, 0.044262, 0.016189
4888, 0.031097, 0.044190, 0.016162
4896, 0.031046, 0.044118, 0.016136
4904, 0.030995, 0.044046, 0.016109
4912, 0.030945, 0.044178, 0.016083
4920, 0.031098, 0.044106, 0.016057
4928, 0.031047, 0.044034, 0.016031
4936, 0.030997, 0.044165, 0.016005
4944, 0.031149, 0.044094, 0.015979
4952, 0.031099, 0.044023, 0.015953
4960, 0.031048, 0.043952, 0.015927
4968, 0.030998, 0.044082, 0.016103
4976, 0.030949, 0.044212, 0.016077
4984, 0.030899, 0.044141, 0.016051
4992, 0.030849, 0.044071, 0.016026
5000, 0.031000, 0.044000, 0.016000
5008, 0.030950, 0.044129, 0.015974
5016, 0.030901, 0.044059, 0.015949
5024, 0.031051, 0.043989, 0.015924
5032, 0.031002, 0.043919, 0.015898
5040, 0.030952, 0.044048, 0.015873
5048, 0.030903, 0.043978, 0.016046
5056, 0.030854, 0.044106, 0.016021
5064, 0.030806, 0.044036, 0.015995
5072, 0.030757, 0.043967, 0.015970
5080, 0.030709, 0.043898, 0.015945
5088, 0.030660, 0.043829, 0.015920
5096, 0.030612, 0.043760, 0.016091
5104, 0.030564, 0.043887, 0.016066
5112, 0.030516, 0.044014, 0.016041
5120, 0.030664, 0.043945, 0.016016
5128, 0.030616, 0.044072, 0.015991
5136, 0.030569, 0.044003, 0.015966
5144, 0.030521, 0.043935, 0.015941
5152, 0.030474, 0.043866, 0.015916
5160, 0.030426, 0.043798, 0.015891
5168, 0.030379, 0.043731, 0.015867
5176, 0.030526, 0.043856, 0.015842
5184, 0.030478, 0.043789, 0.015818
5192, 0.030431, 0.043721, 0.015794
5200, 0.030385, 0.043846, 0.015769
5208, 0.030338, 0.043779, 0.015745
5216, 0.030483, 0.043712, 0.015721
5224, 0.030436, 0.043645, 0.015697
5232, 0.030390, 0.043578, 0.015673
5240, 0.030344, 0.043702, 0.015649
5248, 0.030297, 0.043636, 0.015625
5256, 0.030251, 0.043569, 0.015601
5264, 0.030205, 0.043503, 0.015578
5272, 0.030349, 0.043437, 0.015554
5280, 0.030303, 0.043561, 0.015530
5288, 0.030257, 0.043495, 0.015507
5296, 0.030211, 0.043429, 0.015483
5304, 0.030166, 0.043552, 0.015460
5312, 0.030120, 0.043486, 0.015437
5320, 0.030075, 0.043421, 0.015414
5328, 0.030218, 0.043356, 0.015390
